time	H2	O2	H2O	OH	H	HO2	O	N2
120	0.353486	0.4178	0.000123716	0.00684437	0.284992	0.000271274	0.136832	0.01
121	0.352471	0.417213	0.000126624	0.00694239	0.286911	0.000275218	0.137896	0.01
122	0.351458	0.416626	0.000129571	0.00704087	0.288824	0.000279182	0.138959	0.01
123	0.350448	0.41604	0.000132558	0.0071398	0.29073	0.000283166	0.140021	0.01
124	0.349441	0.415454	0.000135584	0.00723917	0.292629	0.00028717	0.141082	0.01
125	0.348437	0.414868	0.000138649	0.00733897	0.294522	0.000291193	0.142141	0.01
126	0.347436	0.414283	0.000141753	0.00743921	0.296409	0.000295235	0.1432	0.01
127	0.346438	0.413698	0.000144897	0.00753988	0.29829	0.000299296	0.144257	0.01
128	0.345443	0.413113	0.00014808	0.00764097	0.300164	0.000303377	0.145313	0.01
129	0.344451	0.412529	0.000151302	0.00774248	0.302031	0.000307476	0.146368	0.01
130	0.343462	0.411945	0.000154564	0.0078444	0.303893	0.000311594	0.147422	0.01
131	0.342475	0.411361	0.000157865	0.00794673	0.305748	0.00031573	0.148475	0.01
132	0.341492	0.410778	0.000161205	0.00804947	0.307597	0.000319884	0.149527	0.01
133	0.340511	0.410195	0.000164585	0.00815262	0.309439	0.000324057	0.150577	0.01
134	0.339533	0.409612	0.000168004	0.00825616	0.311276	0.000328247	0.151627	0.01
135	0.338559	0.40903	0.000171463	0.00836009	0.313106	0.000332455	0.152675	0.01
136	0.337587	0.408448	0.000174961	0.00846441	0.31493	0.000336681	0.153722	0.01
137	0.336618	0.407866	0.000178498	0.00856912	0.316747	0.000340924	0.154768	0.01
138	0.335651	0.407285	0.000182075	0.0086742	0.318559	0.000345185	0.155813	0.01
139	0.334688	0.406704	0.000185691	0.00877967	0.320364	0.000349463	0.156856	0.01
140	0.333727	0.406123	0.000189346	0.0088855	0.322163	0.000353757	0.157899	0.01
141	0.33277	0.405543	0.00019304	0.0089917	0.323956	0.000358069	0.15894	0.01
142	0.331815	0.404963	0.000196774	0.00909827	0.325743	0.000362397	0.15998	0.01
143	0.330863	0.404383	0.000200547	0.00920519	0.327524	0.000366742	0.161019	0.01
144	0.329914	0.403804	0.000204358	0.00931247	0.329299	0.000371103	0.162057	0.01
145	0.328967	0.403225	0.000208209	0.0094201	0.331068	0.00037548	0.163094	0.01
146	0.328024	0.402647	0.000212099	0.00952808	0.33283	0.000379873	0.164129	0.01
147	0.327083	0.402069	0.000216028	0.00963641	0.334587	0.000384282	0.165164	0.01
148	0.326145	0.401491	0.000219996	0.00974507	0.336337	0.000388707	0.166197	0.01
149	0.32521	0.400914	0.000224003	0.00985407	0.338082	0.000393148	0.167229	0.01
150	0.324277	0.400337	0.000228048	0.0099634	0.339821	0.000397603	0.16826	0.01
151	0.323348	0.39976	0.000232132	0.0100731	0.341553	0.000402074	0.16929	0.01
152	0.322421	0.399184	0.000236255	0.010183	0.34328	0.000406561	0.170318	0.01
153	0.321497	0.398608	0.000240417	0.0102933	0.345001	0.000411062	0.171346	0.01
154	0.320575	0.398033	0.000244617	0.010404	0.346716	0.000415578	0.172372	0.01
155	0.319657	0.397457	0.000248855	0.0105149	0.348424	0.000420108	0.173397	0.01
156	0.318741	0.396883	0.000253132	0.0106261	0.350127	0.000424653	0.174421	0.01
157	0.317828	0.396309	0.000257447	0.0107377	0.351825	0.000429213	0.175444	0.01
158	0.316917	0.395735	0.0002618	0.0108495	0.353516	0.000433787	0.176466	0.01
159	0.31601	0.395161	0.000266191	0.0109617	0.355201	0.000438374	0.177486	0.01
160	0.315105	0.394588	0.000270621	0.0110741	0.356881	0.000442976	0.178506	0.01
161	0.314203	0.394015	0.000275088	0.0111868	0.358555	0.000447592	0.179524	0.01
162	0.313303	0.393443	0.000279593	0.0112998	0.360223	0.000452221	0.180541	0.01
163	0.312407	0.392871	0.000284135	0.0114131	0.361885	0.000456863	0.181557	0.01
164	0.311513	0.3923	0.000288716	0.0115267	0.363542	0.000461519	0.182572	0.01
165	0.310621	0.391729	0.000293333	0.0116405	0.365193	0.000466189	0.183585	0.01
166	0.309733	0.391158	0.000297988	0.0117547	0.366838	0.000470871	0.184598	0.01
167	0.308847	0.390588	0.000302681	0.0118691	0.368477	0.000475566	0.185609	0.01
168	0.307963	0.390018	0.00030741	0.0119837	0.370111	0.000480274	0.186619	0.01
169	0.307083	0.389449	0.000312177	0.0120986	0.371739	0.000484995	0.187628	0.01
170	0.306205	0.38888	0.00031698	0.0122138	0.373361	0.000489728	0.188635	0.01
171	0.305329	0.388311	0.00032182	0.0123292	0.374977	0.000494473	0.189642	0.01
172	0.304457	0.387743	0.000326697	0.0124449	0.376588	0.000499231	0.190647	0.01
173	0.303587	0.387175	0.000331611	0.0125609	0.378194	0.000504001	0.191652	0.01
174	0.302719	0.386608	0.000336561	0.012677	0.379794	0.000508782	0.192655	0.01
175	0.301855	0.386041	0.000341547	0.0127935	0.381388	0.000513576	0.193657	0.01
176	0.300993	0.385475	0.000346569	0.0129101	0.382977	0.000518381	0.194657	0.01
177	0.300133	0.384909	0.000351627	0.013027	0.38456	0.000523198	0.195657	0.01
178	0.299276	0.384343	0.000356721	0.0131441	0.386137	0.000528026	0.196655	0.01
179	0.298422	0.383778	0.000361851	0.0132615	0.387709	0.000532866	0.197653	0.01
180	0.29757	0.383213	0.000367016	0.0133791	0.389276	0.000537716	0.198649	0.01
181	0.296721	0.382649	0.000372217	0.0134968	0.390837	0.000542578	0.199644	0.01
182	0.295875	0.382085	0.000377453	0.0136149	0.392393	0.000547451	0.200637	0.01
183	0.295031	0.381522	0.000382724	0.0137331	0.393943	0.000552334	0.20163	0.01
184	0.29419	0.380959	0.00038803	0.0138515	0.395487	0.000557228	0.202621	0.01
185	0.293351	0.380397	0.000393372	0.0139702	0.397027	0.000562132	0.203612	0.01
186	0.292515	0.379835	0.000398747	0.0140891	0.39856	0.000567047	0.204601	0.01
187	0.291681	0.379273	0.000404158	0.0142081	0.400089	0.000571972	0.205588	0.01
188	0.29085	0.378712	0.000409602	0.0143274	0.401612	0.000576907	0.206575	0.01
189	0.290022	0.378152	0.000415081	0.0144469	0.40313	0.000581852	0.207561	0.01
190	0.289196	0.377592	0.000420594	0.0145665	0.404642	0.000586808	0.208545	0.01
191	0.288373	0.377032	0.000426141	0.0146864	0.406149	0.000591772	0.209528	0.01
192	0.287552	0.376473	0.000431721	0.0148064	0.407651	0.000596747	0.21051	0.01
