time	H2	O2	H2O	OH	H	HO2	O	N2
20400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
20900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
21900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
22800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
